앱이름,유저이름,리뷰날짜,평점,리뷰의 좋아요 개수,리뷰 내용,전처리1,spell_check
당근마켓,Jaegyu Kim,2021년 1월 5일,4,36.0,"거주지 근처만 볼수있어 편하고 좋아요~ 다만... 전문판매자들이 너무 많네요. 신고해서 처리도 안되는것 같고... 전문판매면 지역광고로 떳떳하게 팔던가 적당히 판매할것이지...ㅡㅡ 그리고 당근에서 거래시 결제도 할 수 있었으면 좋겠어요. 직거래 위치를 지도에 표시해줄수있는.., 그런 기능까지는..무리겠죠?? ^^",거주지 근처만 볼수있어 편하고 좋아요 다만 전문판매자들이 너무 많네요 신고해서 처리도 안되는것 같고 전문판매면 지역광고로 떳떳하게 팔던가 적당히 판매할것이지 그리고 당근에서 거래시 결제도 할 수 있었으면 좋겠어요 직거래 위치를 지도에 표시해줄수있는 그런 기능까지는 무리겠죠 ,거주지 근처만 볼 수 있어 편하고 좋아요 다만 전문판매자들이 너무 많네요 신고해서 처리도 안 되는 것 같고 전문판매 면 지역광고로 떳떳하게 팔던가 적당히 판매할 것이지 그리고 당근에서 거래 시 결제도 할 수 있었으면 좋겠어요 직거래 위치를 지도에 표시해줄 수 있는 그런 기능까지는 무리겠죠 
당근마켓,Google 사용자,2019년 2월 9일,4,,필요한 이웃들에게 싼가격으로 나눔하니까 서로 친목을 연결해주는 장이 될 수도 있다는 점이 정말 좋구요 나쁜 점은 물건을보고 구매하는것이 아니라 사진과 설명만 으로 거래하니까 좀 상세한 사진과 설명이 필요한데 그렇지 못한분들이 많으시고요 좋은 물건을 싸게 냈는데도 그기서 다시 절반을 깍으려고 하는분들도 있고 무료 나눔 하는데도 배달을 원하는 사람들도 있어서 어떨땐 은근히 화가 날때도 있어요,필요한 이웃들에게 싼가격으로 나눔하니까 서로 친목을 연결해주는 장이 될 수도 있다는 점이 정말 좋구요 나쁜 점은 물건을보고 구매하는것이 아니라 사진과 설명만 으로 거래하니까 좀 상세한 사진과 설명이 필요한데 그렇지 못한분들이 많으시고요 좋은 물건을 싸게 냈는데도 그기서 다시 절반을 깍으려고 하는분들도 있고 무료 나눔 하는데도 배달을 원하는 사람들도 있어서 어떨땐 은근히 화가 날때도 있어요,필요한 이웃들에게 싼 가격으로 나눔 하니까 서로 친목을 연결해주는 장이 될 수도 있다는 점이 정말 좋고요 나쁜 점은 물건을 보고 구매하는 것이 아니라 사진과 설명만으로 거래하니까 좀 상세한 사진과 설명이 필요한데 그렇지 못한 분들이 많으시고요 좋은 물건을 싸게 냈는데도 거기서 다시 절반을 깎으려고 하는 분들도 있고 무료 나눔 하는데도 배달을 원하는 사람들도 있어서 어떨 땐 은근히 화가 날 때도 있어요
당근마켓,Eunmi Song,2021년 4월 14일,5,30.0,"집에 안 쓰는 새 물건들이 아까운 적이 많았었는데 당근마켓 덕분에 필요하신 분에게 드릴 수도 있고 저도 새 제품을 저렴하게 입양해 올 수 있게되어 너무 잘 쓰고 있습니다~! 환경적으로도 경제적으로도 너무 좋은 어플인것 같습니다! 다만 거래 후, 제품이 판매 내용 글이랑 다른 경우나 새 것이 아닌데 새 것이라고 올리신 분들을 평가할 수 있는 것이 있어 볼 수 있으면 더 좋을거 같다는 생각이 듭니다~!",집에 안 쓰는 새 물건들이 아까운 적이 많았었는데 당근마켓 덕분에 필요하신 분에게 드릴 수도 있고 저도 새 제품을 저렴하게 입양해 올 수 있게되어 너무 잘 쓰고 있습니다 환경적으로도 경제적으로도 너무 좋은 어플인것 같습니다 다만 거래 후 제품이 판매 내용 글이랑 다른 경우나 새 것이 아닌데 새 것이라고 올리신 분들을 평가할 수 있는 것이 있어 볼 수 있으면 더 좋을거 같다는 생각이 듭니다 ,집에 안 쓰는 새 물건들이 아까운 적이 많았었는데 당근 마켓 덕분에 필요하신 분에게 드릴 수도 있고 저도 새 제품을 저렴하게 입양해 올 수 있게 되어 너무 잘 쓰고 있습니다 환경적으로도 경제적으로도 너무 좋은 어플인 것 같습니다 다만 거래 후 제품이 판매 내용 글이랑 다른 경우나 새것이 아닌데 새것이라고 올리신 분들을 평가할 수 있는 것이 있어 볼 수 있으면 더 좋을 거 같다는 생각이 듭니다 
당근마켓,마라탕먹고싶다,2021년 2월 28일,2,1.0,"잘 쓰고 있었습니다. 그런데 로그아웃을 하고 다시 로그인을 할려구 전화번호를 눌리고 인증번호를 받아서 동의하고 시작하기를 누르니 비정상적인 인증 신호가 확인되어 제안되었습니다. 라고 나오고 로그인이 안되네요. 어제도 그랬구 어끄제도 그랬는데 오늘도 그렇네요.. 이거 어떻게 해야하조?,, 앱을 지웠다 깔아도봤구 앱설정 초기화도 해봤고 폰을 껕다켜봤기도 했는데..",잘 쓰고 있었습니다 그런데 로그아웃을 하고 다시 로그인을 할려구 전화번호를 눌리고 인증번호를 받아서 동의하고 시작하기를 누르니 비정상적인 인증 신호가 확인되어 제안되었습니다 라고 나오고 로그인이 안되네요 어제도 그랬구 어끄제도 그랬는데 오늘도 그렇네요 이거 어떻게 해야하조 앱을 지웠다 깔아도봤구 앱설정 초기화도 해봤고 폰을 껕다켜봤기도 했는데,잘 쓰고 있었습니다 그런데 로그아웃을 하고 다시 로그인을 하려고 전화번호를 눌리고 인증번호를 받아서 동의하고 시작하기를 누르니 비정상적인 인증 신호가 확인되어 제안되었다고 나오고 로그인이 안 되네요 어제도 그랬고 엊그제도 그랬는데 오늘도 그렇네요 이거 어떻게 해야 하조 앱을 지웠다 깔아도 봤고 앱 설정 초기화도 해봤고 폰을 껕다켜봤기도 했는데
당근마켓,베엘라,2021년 1월 14일,3,,상태바알림이 왔을때 해당 게시물로 바로 이동은 못하나요? 현재는 앱만 켜지네요 그리고 채팅이 너무너무너무 불안정해요 ㅠㅠ 평소에 몇분씩 늦게오는건 상관없지만 몇개 건너뛰어서 표시되고 특히 거래장소 도착했을 때 연결이 제대로 되있는 적이 없어요..,상태바알림이 왔을때 해당 게시물로 바로 이동은 못하나요 현재는 앱만 켜지네요 그리고 채팅이 너무너무너무 불안정해요 평소에 몇분씩 늦게오는건 상관없지만 몇개 건너뛰어서 표시되고 특히 거래장소 도착했을 때 연결이 제대로 되있는 적이 없어요,상태바 알림이 왔을 때 해당 게시물로 바로 이동은 못하나요 현재는 앱만 켜지네요 그리고 채팅이 너무너무너무 불안정해요 평소에 몇 분씩 늦게 오는 건 상관없지만 몇 개 건너뛰어서 표시되고 특히 거래장소 도착했을 때 연결이 제대로 돼있는 적이 없어요
당근마켓,안나수림,2020년 11월 24일,1,37.0,"당근마켓 아주 잘 이용하고 있었는데요 어느날,특정 상품 클릭시에 앱이 꺼져버리는 오류가 발생하네요.파는데에도 지장있고 구매하고싶었던 상품을 다시 볼 수도 없네요.최대한 빠른시일내에 이 문제점 좀 개선해주셨으면 합니다..관심갯수가 많은데 이 오류때문에 지우고 다시 올리기도 그렇고요ㅠㅠㅠ",당근마켓 아주 잘 이용하고 있었는데요 어느날 특정 상품 클릭시에 앱이 꺼져버리는 오류가 발생하네요 파는데에도 지장있고 구매하고싶었던 상품을 다시 볼 수도 없네요 최대한 빠른시일내에 이 문제점 좀 개선해주셨으면 합니다 관심갯수가 많은데 이 오류때문에 지우고 다시 올리기도 그렇고요 ,당근 마켓 아주 잘 이용하고 있었는데요 어느 날 특정 상품 클릭 시에 앱이 꺼져버리는 오류가 발생하네요 파는 데에도 지장 있고 구매하고 싶었던 상품을 다시 볼 수도 없네요 최대한 빠른 시일 내에 이 문제점 좀 개선해주셨으면 합니다 관심 개수가 많은데 이 오류 때문에 지우고 다시 올리기도 그렇고요 
당근마켓,김현재,2020년 8월 27일,5,,"저의 개인적인 의견이 있어서 리뷰를 남깁니다 지금 검색창을 들어가면 카테고리별로 들어가서 확인을 할수있잖아요 거기서 금액필터링을 할수있으면 좋겠어요 그냥 검색할때는 필터링 할 수 있지만 카테고리에서 필터링은 안되는게 조금 불편해서요 예를들어 가방을 찾아볼때 제목에 백이 들어가면 '백' 검색해서 보면되는데 또 '가방'이라고 검색할때랑은 다르고 이건 올리는 사람이 어떻게 올리느냐에따라 그런것 같아요 그리고 만약에 명품인 경우는 그냥 상품명만 적어놓는 경우도 있고 그렇거든요 이건 한가지 예만 든거고 다른 물건들도 비슷할것 같아요 그래서 ...
전체 리뷰",저의 개인적인 의견이 있어서 리뷰를 남깁니다 지금 검색창을 들어가면 카테고리별로 들어가서 확인을 할수있잖아요 거기서 금액필터링을 할수있으면 좋겠어요 그냥 검색할때는 필터링 할 수 있지만 카테고리에서 필터링은 안되는게 조금 불편해서요 예를들어 가방을 찾아볼때 제목에 백이 들어가면 백 검색해서 보면되는데 또 가방 이라고 검색할때랑은 다르고 이건 올리는 사람이 어떻게 올리느냐에따라 그런것 같아요 그리고 만약에 명품인 경우는 그냥 상품명만 적어놓는 경우도 있고 그렇거든요 이건 한가지 예만 든거고 다른 물건들도 비슷할것 같아요 그래서 전체 리뷰,저의 개인적인 의견이 있어서 리뷰를 남깁니다 지금 검색창을 들어가면 카테고리별로 들어가서 확인을 할 수 있잖아요 거기서 금액 필터링을 할 수 있으면 좋겠어요 그냥 검색할 때는 필터링할 수 있지만 카테고리에서 필터링은 안되는 게 조금 불편해서요 예를 들어 가방을 찾아볼 때 제목에 백이 들어가면 백 검색해서 보면 되는데 또 가방이라고 검색할 때랑은 다르고 이건 올리는 사람이 어떻게 올리느냐에 따라 그런 것 같아요 그리고 만약에 명품인 경우는 그냥 상품명만 적어놓는 경우도 있고 그렇거든요 이건 한가지 예만 든 거고 다른 물건들도 비슷할 것 같아요 그래서 전체 리뷰
당근마켓,Kijung Hong,2019년 3월 17일,4,,"채팅 오류가 자주 나는 편이고 인터넷 끊겼다가 연결됐다가 안좋을 때 영어로 자바 런타임 에러메시지가 바로 뜹니다. 또, 인터넷 끊어졌을 때 목록 리스트가 중단되는데 다시 연결되고 화면을 아래로 밀면 더 나와야 되는데 안나옴. 고쳐주세요.",채팅 오류가 자주 나는 편이고 인터넷 끊겼다가 연결됐다가 안좋을 때 영어로 자바 런타임 에러메시지가 바로 뜹니다 또 인터넷 끊어졌을 때 목록 리스트가 중단되는데 다시 연결되고 화면을 아래로 밀면 더 나와야 되는데 안나옴 고쳐주세요,채팅 오류가 자주 나는 편이고 인터넷 끊겼다가 연결됐다가 안 좋을 때 영어로 자바 런타임 에러 메시지가 바로 뜹니다 또 인터넷 끊어졌을 때 목록 리스트가 중단되는데 다시 연결되고 화면을 아래로 밀면 더 나와야 되는데 안 나옴 고쳐주세요
당근마켓,영어 멘토,2020년 8월 13일,5,,"당근 마켓을 통해 생에 첫 중고거래를 했습니다. 물건을 올리고 얼마 되지 않아 거래제안이 들어왔고 거래 제안을 한 그 분과 만나 물건을 팔았습니다. 물건을 보고 좋아하시던 그 분을 보니 기분이 좋네요. 거래가 금방 성사 될 것을 생각지 못했는데 거래가 금방 성사돼서 놀랐고 근처에 사시는 분과 거래하니 멀리가지 않아 편해서 좋았습니다. 다른 중고사이트를 이용해봤는데 오래 기다려도 거래제안도 안들어 오고 거래하는 재미도 없었는데 당근마켓은 거래하는 재미가 있네요. 내일을 다른 물건도 올리고 사고 싶은 물건도 싸게 사려고 합니다. 당근마...
전체 리뷰",당근 마켓을 통해 생에 첫 중고거래를 했습니다 물건을 올리고 얼마 되지 않아 거래제안이 들어왔고 거래 제안을 한 그 분과 만나 물건을 팔았습니다 물건을 보고 좋아하시던 그 분을 보니 기분이 좋네요 거래가 금방 성사 될 것을 생각지 못했는데 거래가 금방 성사돼서 놀랐고 근처에 사시는 분과 거래하니 멀리가지 않아 편해서 좋았습니다 다른 중고사이트를 이용해봤는데 오래 기다려도 거래제안도 안들어 오고 거래하는 재미도 없었는데 당근마켓은 거래하는 재미가 있네요 내일을 다른 물건도 올리고 사고 싶은 물건도 싸게 사려고 합니다 당근마 전체 리뷰,당근 마켓을 통해 생에 첫 중고거래를 했습니다 물건을 올리고 얼마 되지 않아 거래제안이 들어왔고 거래 제안을 한 그분과 만나 물건을 팔았습니다 물건을 보고 좋아하시던 그분을 보니 기분이 좋네요 거래가 금방 성사될 것을 생각지 못했는데 거래가 금방 성사돼서 놀랐고 근처에 사시는 분과 거래하니 멀리 가지 않아 편해서 좋았습니다 다른 중고사이트를 이용해봤는데 오래 기다려도 거래제안도 안 들어 오고 거래하는 재미도 없었는데 당근 마켓은 거래하는 재미가 있네요 내일을 다른 물건도 올리고 사고 싶은 물건도 싸게 사려고 합니다 당근만 전체 리뷰
당근마켓,드폰핸,2020년 5월 29일,5,7.0,원룸 구하는데에 당근마켓 이용해서 물품구매했습니다. 저렴하게 전부 구할 수 있어서 좋아요! 용달 견적도 쉽게 내서 비교할 수 있고 급하게 구할 때도 좋습니다!앞으로 이사가서도 잘 이용할 예정입니다!,원룸 구하는데에 당근마켓 이용해서 물품구매했습니다 저렴하게 전부 구할 수 있어서 좋아요 용달 견적도 쉽게 내서 비교할 수 있고 급하게 구할 때도 좋습니다 앞으로 이사가서도 잘 이용할 예정입니다 ,원룸 구하는 데에 당근 마켓 이용해서 물품구매했습니다 저렴하게 전부 구할 수 있어서 좋아요 용달 견적도 쉽게 내서 비교할 수 있고 급하게 구할 때도 좋습니다 앞으로 이사 가서도 잘 이용할 예정입니다 
